player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1125,"Kautoga, Kitione",PAR,12,547100,03,STG,,12,93,61,80,80,1.16,0.58,46,17,12,24,-6,60,0.75,,17,12,0,0,0,0,0,34,-2,8,0,4,2,10,0,0,0,10,4,55.6,0,0,0,-2,-4,0,61,0,61,,0,0,0,44.4,5.6,22.2,9200,9200,0,579300,537900,80,3,0,22.57,0.37,0,0,0,0,46,17,12,24,-6,8969,68,80,0,41,46,,2RF,2026-04-29,2026
1126,"Kautoga, Kitione",PAR,12,575100,04,PTH,,12,77,65,80,80,0.96,0.69,55,0,12,12,-2,67,0.84,,0,0,4,0,0,0,0,36,0,4,0,8,0,0,8,0,0,18,1,90.0,0,0,0,0,-2,0,71,0,65,,0,0,0,20,0,20,28000,37200,0,579300,537900,80,4,0,20.69,0.32,0,0,0,0,55,0,12,12,-2,8100,85,80,0,17,70,,2RF,2026-04-29,2026
1127,"Kautoga, Kitione",PAR,12,602200,05,WST,,12,50,62,85,81,0.59,0.47,40,0,0,14,-4,54,0.64,,0,0,0,0,0,0,0,25,-2,6,0,8,0,0,0,0,0,10,7,41.7,0,0,0,-4,0,0,73,62,62,,0,0,0,25,7.4,16.7,27100,64300,0,579300,537900,81,5,0,19.49,0.31,0,0,0,0,40,0,0,14,-4,8249,64,82,81,68,74,,2RF,2026-04-29,2026
1128,"Kautoga, Kitione",PAR,12,579300,06,GCT,,12,41,59,57,77,0.72,0.54,31,0,0,12,-2,43,0.75,,0,0,0,0,0,0,0,19,-2,4,0,8,0,0,0,0,0,12,2,75.0,0,0,0,0,-2,0,56,61,59,,0,0,0,25,9.5,25,-22900,41400,0,579300,537900,77,6,19.47,19.47,0.33,0.33,0,0,0,31,0,0,12,-2,10345,46,74,76,99,72,,2RF,2026-04-29,2026
1129,"Kautoga, Kitione",PAR,12,579300,Totals,,,,352,59,462,77,0.76,0.56,257,17,24,76,-22,323,0.70,53.83,17,12,4,0,0,0,0,165,-10,28,0,36,2,10,8,0,0,76,26,59.4,0,0,0,-6,-16,0,56,61,0,,-1,-2.7,-3.7,21.9,0,15.6,0,41400,33,579300,537900,0,6,19.47,19.47,0.33,0.33,59,0,0,43,3,4,13,-4,0,46,74,76,103,69,,2RF,2026-04-29,2026
1130,"Keeley, Oryn",DOL,06,391200,01,STH,,15,45,45,35,35,1.29,1.17,41,0,0,4,0,45,1.29,,0,0,0,0,0,0,0,29,-4,0,0,4,0,0,0,0,0,16,0,100.0,0,0,0,0,0,0,0,0,45,,0,0,0,0,12.1,12.5,0,0,0,385200,391200,35,1,0,0,0,0,0,0,0,41,0,0,4,0,8693,0,0,0,30,91,,2RF,2026-04-29,2026
1131,"Keeley, Oryn",DOL,06,391200,02,GCT,,15,34,40,36,36,0.94,0.86,31,3,0,0,0,31,0.86,,0,0,0,0,0,0,0,22,-3,0,0,0,0,0,0,0,0,4,8,20.0,3,0,0,0,0,0,0,0,40,,0,0,0,0,12,0,0,0,0,385200,391200,36,2,0,5.5,0.14,0,0,0,0,31,3,0,0,0,9904,40,0,0,44,91,,2RF,2026-04-29,2026
1132,"Keeley, Oryn",DOL,06,385200,03,SHA,,15,39,39,25,32,1.56,1.24,31,0,0,8,0,39,1.56,,0,0,0,0,0,0,0,16,0,4,0,4,0,0,0,0,0,10,5,50.0,0,0,0,0,0,0,39,0,39,,0,0,0,20,0,10,-6000,-6000,0,385200,391200,32,3,4.5,4.5,0.12,0.12,0,0,0,31,0,0,8,0,9877,37,32,0,51,79,,2RF,2026-04-29,2026
1133,"Keeley, Oryn",DOL,06,385200,Totals,,,,118,39,96,32,1.23,1.07,103,3,0,12,0,115,1.20,38.33,0,0,0,0,0,0,0,67,-7,4,0,8,0,0,0,0,0,30,13,53.6,3,0,0,0,0,0,39,0,0,,0,0,0,7.1,0,7.1,0,-6000,0,385200,391200,0,3,4.5,4.5,0.12,0.12,39,0,0,34,1,0,4,0,0,37,32,0,56,87,,2RF,2026-04-29,2026
1134,"Kelly, Brian",PAR,12,550400,01,MEL,,4,43,43,80,80,0.54,0.44,35,0,0,12,-4,47,0.59,,0,0,0,0,0,0,0,18,-3,8,0,4,0,0,0,0,0,12,8,42.9,0,0,0,-2,-2,0,0,0,43,,0,0,0,28.6,14.3,7.1,0,0,0,519400,550400,80,1,0,0,0,0,0,0,0,35,0,0,12,-4,12800,0,0,0,82,74,,CTW,2026-04-29,2026
